username;view_count;like_count;comment_count;save_count;engagement_rate_influencer
ichadude;21839700.0;489314.0;3241.0;23491.0;24.007464269662922
iggydzu;36922900.0;2294392.0;25246.0;149791.0;67.7689953755382
iitsace;1893700.0;128000.0;773.0;5144.0;23.972192851027398
im.camber;47861400.0;5607923.0;23053.0;286443.0;11.464881568627451
im_rawan0;5674200.0;899300.0;13825.0;72589.0;15.752527142857144
imarayulloa78;12803449.0;529085.0;4933.0;34581.0;17.13423121212121
imeyhou;33572100.0;3213500.0;16388.0;138924.0;4818206.0
imlucastho;1919100.0;101700.0;398.0;5737.0;17.98176463414634
imprestonbradley;125725300.0;14001908.0;199819.0;578157.0;29.50367420689655
incorrectlyroce;68884300.0;8526600.0;27383.0;459364.0;39.19473581818182
infamous_wu13;42394700.0;2557000.0;16050.0;217768.0;87.89284972222222
iniganta;11487400.0;1025500.0;14366.0;33413.0;21.188507435897435
inpersa16;93800000.0;6521800.0;33092.0;117282.0;62.704157959183675
ireniusx;102639600.0;16205931.0;43447.0;978406.0;22.89847975409836
isaac.h.p.karaoke.backup;1766800.0;280505.0;5081.0;21679.0;35.69355
isaach.p;4046500.0;564600.0;4261.0;55808.0;24.536638071895425
isaiahgarza;85400000.0;16131400.0;205283.0;1112700.0;41.913131791044776
islasvlogs_;65156400.0;7005359.0;21378.0;354368.0;459.9597109428768
isramy;2605900.0;383000.0;1239.0;23963.0;25.31787043478261
issa_vegas.fit;255800.0;41661.0;211.0;3799.0;7.527504026845637
its.michhh;28848700.0;3660100.0;13362.0;141976.0;21.497145217391303
itsaburob;21300000.0;1058400.0;9615.0;52926.0;1439.1013815789474
itsblasphemus;37601601.0;6398843.0;39579.0;649005.0;60.10618230769231
itsceceh;154026300.0;17818300.0;138556.0;650564.0;437.39138068635276
itsjaylaaw..22;2991580.0;310545.0;461.0;43119.0;17.087096296296295
itsjojosiwa;69292500.0;6863700.0;44404.0;277772.0;36.324521355932205
itskingchris;6600000.0;1295700.0;11055.0;127900.0;28.33628446969697
itsmenicksmithy2;303795700.0;31109512.0;319401.0;1740160.0;67606.28972375691
itspierreboo;1812900.0;248500.0;6038.0;8934.0;32.604630588235295
itspoli_;38497300.0;4917100.0;17342.0;223085.0;45.287003802816905
itssassagurl;25611100.0;2981700.0;21079.0;153340.0;117.7472412387938
itstaylerholder;15348000.0;767193.0;7014.0;43857.0;169.6747435897436
itsyourchel;6548600.0;927434.0;4710.0;86253.0;46.13695611111111
ivanaalawi;84300000.0;8028000.0;40544.0;54754.0;90.33250842105264
ivancornejooo;8700000.0;1662200.0;13882.0;154100.0;28.5335964
ive.official;2153700.0;456600.0;5374.0;21577.0;125.8322604
jackjos3ph;6446300.0;860400.0;6906.0;53564.0;20475.754716981133
jacksepticeye;3370200.0;538400.0;3917.0;38556.0;19.007920625
jacob_oliver;5404736.0;786757.0;15122.0;21092.0;38.90297953216374
jacobday;9993000.0;1535600.0;4676.0;75808.0;26440.254593175854
jadenbahtera;5185200.0;302940.0;1364.0;15574.0;23.465049285714286
jadethirlwall;949300.0;135400.0;3065.0;2911.0;30.904243333333334
jahkhalib;273000.0;21118.0;313.0;1039.0;57.26237984732825
jaiiibruh;2596400.0;303400.0;1052.0;6748.0;38.69517894736842
jailyneojjeda;30933.0;376.0;11.0;21.0;19.596235416666666
jairitosolano;3307300.0;406800.0;1384.0;19912.0;27.82786310559006
jairsanchezzz;4592200.0;819800.0;7308.0;34016.0;40.29926409090909
jakefresca;338274.0;43279.0;403.0;3564.0;26.086307093023255
jakehunterofficial;14767800.0;2330087.0;8526.0;82584.0;44.31950098039216
jakekrantz;83400000.0;20075700.0;138405.0;1145500.0;47.693319565217394
jakethes.d;2489000.0;215062.0;449.0;14585.0;17.70222393939394
jamescharles;28000000.0;2686300.0;8824.0;101469.0;14.272899
jameshenry;39934300.0;595181.0;1557.0;13676.0;30.415844205607478
jannatmirza;147600000.0;9413200.0;106304.0;280300.0;39.01273588235294
japanfriends;50280700.0;4733600.0;5529.0;112701.0;72.39893
jashlem;3016100.0;571100.0;1278.0;23630.0;13.852123835616439
jaxwritessongs;243946900.0;33593700.0;307825.0;1639079.0;56.134543050847455
jayandsharon;9005900.0;1101000.0;8195.0;87353.0;49.66475736526946
jayfujiwara;64500000.0;6323900.0;21321.0;1228700.0;52.87712042372881
jaykindafunny8;76066800.0;6322100.0;27198.0;432900.0;60.160743076923076
jaynagy;36406397.0;3416470.0;19381.0;249148.0;195.78107219007006
jayrscottyy;8022178.0;808489.0;9929.0;25874.0;8.708173181818182
jdiasss_;128340600.0;15147900.0;150781.0;801586.0;56.92711
jdpantoja;75600000.0;5564600.0;101133.0;249300.0;81.14662637931035
jeffwittek;4916700.0;431700.0;1845.0;12820.0;563.6789719626169
jefripradewa;10931700.0;1328200.0;30502.0;144185.0;24.65330389473684
jennialarcon_;1939500.0;329400.0;894.0;5380.0;27.326654699738903
jennychallita;103560100.0;6821176.0;68420.0;426202.0;127.63780130113574
jeromepolin98;34200000.0;3516500.0;67923.0;76194.0;24.678442290502794
jessie.shen;8913300.0;1431700.0;7610.0;83798.0;13.047594545454546
jessnolimit999;133100000.0;12901600.0;366939.0;347871.0;1099.1794851794073
jesusnalgas;14179700.0;1378000.0;7674.0;86140.0;58.076259565350476
jiembamsands;67036.0;2504.0;8.0;312.0;9.14604875
