username; nickname; deskripsi; view_count; like_count; comment_count; save_count; link; tanggal_posting; scraped_time
virginiafonseca;Virginia;Entrei na trend;722400.0;77400.0;0;1037;https://www.tiktok.com/@virginiafonseca/video/7290692046921174277?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-17;2023-10-27 15:22:58
katclark;Kat Clark;GRWM to go Halloween Costume shopping 🎃 👻 #halloween  #costumeideas  ;84600.0;17200.0;269;386;https://www.tiktok.com/@katclark/video/7294513974622588162?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-27;2023-10-27 15:23:08
katclark;Kat Clark;Déjà hit 500k 🥳 #vlog  #celebration  #hack  ;906300.0;159400.0;541;4260;https://www.tiktok.com/@katclark/video/7294193636428795138?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-27;2023-10-27 15:23:14
katclark;Kat Clark;Last Day of our cruise #vlog  #cruise  #groupholiday  #disney  ;1800000.0;336500.0;1614;11900.0;https://www.tiktok.com/@katclark/video/7293783880128072968?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-25;2023-10-27 15:23:19
katclark;Kat Clark;Day 2 on the cruise and feeling left out 😩 🦈 #vlog  #groupholiday  #cruise  ;1800000.0;300900.0;465;7732;https://www.tiktok.com/@katclark/video/7293419381751631112?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-24;2023-10-27 15:23:25
brycehall;Bryce Hall;#duet  with @hotblockchain  ;248200.0;29800.0;55;274;https://www.tiktok.com/@brycehall/video/7294367876595764526?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-27;2023-10-27 15:23:34
brycehall;Bryce Hall;shes so zesty ;566500.0;67200.0;67;718;https://www.tiktok.com/@brycehall/video/7293993875461492010?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-26;2023-10-27 15:23:39
brycehall;Bryce Hall;Tag him. ;448700.0;63600.0;399;2752;https://www.tiktok.com/@brycehall/video/7293660438674279722?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-25;2023-10-27 15:23:43
brycehall;Bryce Hall;#stitch  with @braydin  the caption is absolutely insane ;1000000.0;130600.0;290;3014;https://www.tiktok.com/@brycehall/video/7292892236491017515?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-23;2023-10-27 15:23:48
vinhlion77777;💎Vinh Lion;Làm gì làm về đến nhà chịu khó nịnh cô ấy tí😊;13900000.0;903700.0;1730;2007;https://www.tiktok.com/@vinhlion77777/video/6908648064081399042?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2020-12-21;2023-10-27 15:23:57
vinhlion77777;💎Vinh Lion;24 tuổi phá của ba mẹ 1tỷ giờ mượn xe nta quay clip thể hiện là xe của nta🙂;27600000.0;1600000.0;4037;8250;https://www.tiktok.com/@vinhlion77777/video/6890072286410394881?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2020-11-01;2023-10-27 15:24:01
vinhlion77777;💎Vinh Lion;"Thật ra mình không có ác ý đâu; Chỉ là khi bán hàng mình rất nghiêm túc ạ#vinhlion  #dcgr  ";15000.0;418;11;6;https://www.tiktok.com/@vinhlion77777/video/7294530631608995073?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-27;2023-10-27 15:24:06
vinhlion77777;💎Vinh Lion;"Hãy đi gặp người mình muốn gặp đi; Để không còn cơ hội nữa; đời người ngắn ngủi lắm@Shop Vinh Lion💎  #vinhlion  #dcgr  #goclamdep  ";99700.0;2635;17;72;https://www.tiktok.com/@vinhlion77777/video/7290578019435990274?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-16;2023-10-27 15:24:10
mumeixxx;mumei✖;I 👅 U;27500000.0;2000000.0;15700.0;153200.0;https://www.tiktok.com/@mumeixxx/video/7139848633821793537?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2022-09-05;2023-10-27 15:24:20
mumeixxx;mumei✖;I tried dancing in the cat version with this sound source🐱 (@chika__matu  )(@syxihcan  )🙇;39000000.0;2600000.0;14300.0;153000.0;https://www.tiktok.com/@mumeixxx/video/7130200560271117570?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2022-08-10;2023-10-27 15:24:26
mumeixxx;mumei✖;;28200000.0;1000000.0;9172;47700.0;https://www.tiktok.com/@mumeixxx/video/6917555572388662529?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2021-01-14;2023-10-27 15:24:32
mumeixxx;mumei✖;？？？？？#人マニア #ビバ良くない  #キヨブレーキ音  ;1100000.0;109200.0;2740;5853;https://www.tiktok.com/@mumeixxx/video/7294220185668439314?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-27;2023-10-27 15:24:37
jacob_oliver;Jacob;You won if you caught one of these btw #arianagrande  #swt  #arianator  #sweetenertour  #fyp  #trending ;804000.0;142100.0;1282;5142;https://www.tiktok.com/@jacob_oliver/video/6852340312698932486?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2020-07-22;2023-10-27 15:24:46
jacob_oliver;Jacob;#grammys2021  #arianagrande  #fyp  #grammys  #foryou  #ladygaga ;3400000.0;492500.0;13100.0;13500.0;https://www.tiktok.com/@jacob_oliver/video/6939701154418838790?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2021-03-15;2023-10-27 15:24:51
jacob_oliver;Jacob;Her scalp deserved a break now I want her back #arianagrande  #fyp  #arianator  #foryou  #positions ;1200000.0;152100.0;740;2423;https://www.tiktok.com/@jacob_oliver/video/6970345207623666950?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2021-06-05;2023-10-27 15:24:55
jacob_oliver;Jacob;Can we talk about how amazing her hair looked this night #lanahydepark  @Familyheirlooms  #lanatok  #lanadelrey  ;736;57;0;27;https://www.tiktok.com/@jacob_oliver/video/7255021103368703258?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-07-13;2023-10-27 15:24:59
riumbau;Hector Riumbau;Se acerca Halloween 🎃☂️ #halloween  ;1700000.0;180300.0;667;14500.0;https://www.tiktok.com/@riumbau/video/7293585379284880673?is_from_webapp=1&sender_device=pc&web_id=7294550357107590664;2023-10-25;2023-10-27 15:25:08
