username;nickname;deskripsi;view_count;like_count;comment_count;save_count;link;tanggal_posting;scraped_time;engagement_rate_content
dapaneyoffcl;Dap Cosmetics;Hola 👋🏻  #dapnix ;13500000.0;1700000.0;2467.0;26400.0;https://www.tiktok.com/@dapaneyoffcl/video/7114137296701558043?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;2022-06-28;2023-10-27 10:22:40;0.12806422222222222
dapaneyoffcl;Dap Cosmetics;Eme lang HAHAHAHA;13400000.0;1600000.0;2928.0;29000.0;https://www.tiktok.com/@dapaneyoffcl/video/7103792698535988507?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;2022-05-31;2023-10-27 10:22:44;0.12178567164179105
dapaneyoffcl;Dap Cosmetics;"PULL UP; PULL UP! #dapaney  #dapnix ";340700.0;36400.0;90.0;951.0;https://www.tiktok.com/@dapaneyoffcl/video/7293100119442869512?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;;2023-10-27 10:22:48;0.10989433519225125
officialbhafc;Brighton & Hove Albion FC;OUR FIRST EVER WIN IN EUROPE! 😍🙌 #BHAFC  #EuropaLeague  #UEL ;115500.0;18300.0;215.0;551.0;https://www.tiktok.com/@officialbhafc/video/7294383198694427937?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;2023-10-27;2023-10-27 10:22:58;0.16507359307359307
officialbhafc;Brighton & Hove Albion FC;#MoDahoud  🆚 #PascalGross ! 🎯 #PL ;117500.0;9286.0;105.0;227.0;https://www.tiktok.com/@officialbhafc/video/7294180931030502689?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;2023-10-27;2023-10-27 10:23:02;0.08185531914893616
officialbhafc;Brighton & Hove Albion FC;Like this video for a chance to win a signed #KaoruMitoma  #TOTW  card! 😎 See our pinned comment and bio for T&Cs. 🤝 #BHAFC  ;699900.0;56500.0;637.0;1884.0;https://www.tiktok.com/@officialbhafc/video/7293927649670368545?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;;2023-10-27 10:23:06;0.08432776110872982
officialbhafc;Brighton & Hove Albion FC;#AnsuFati ’s journey continues! 😍💙 #BHAFC  #Barca ;759900.0;109400.0;474.0;3691.0;https://www.tiktok.com/@officialbhafc/video/7293790087542770976?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;;2023-10-27 10:23:10;0.1494472956968022
claudiaraia;Claudia Raia;Eu não aguento de tanto amor 😍;5600000.0;331900.0;0.0;5816.0;https://www.tiktok.com/@claudiaraia/video/7282801989002464518?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;2023-09-25;2023-10-27 10:23:18;0.06030642857142857
claudiaraia;Claudia Raia;aposentei ✌🏻;9200000.0;667800.0;2439.0;14200.0;https://www.tiktok.com/@claudiaraia/video/7131018571978706181?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;2022-08-12;2023-10-27 10:23:21;0.07439554347826087
claudiaraia;Claudia Raia;"Olha so quem chegou em #terraepaixão ; quem viu? @TV Globo  @gshow  #novel  #noveladas9  #noveladaglobo  ";19500.0;1868.0;0.0;48.0;https://www.tiktok.com/@claudiaraia/video/7293921429345537286?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;;2023-10-27 10:23:23;0.09825641025641026
claudiaraia;Claudia Raia;Dia de vacinar nosso Bililico ❤️;12800.0;1594.0;0.0;22.0;https://www.tiktok.com/@claudiaraia/video/7293651257800051973?is_from_webapp=1&sender_device=pc&web_id=7294473290549724674;;2023-10-27 10:23:26;0.12625
elsaucepapii;SaucePapii22;Gloria really said “Fly me out Papii…”🐔🤾🏽“No chickens were harmed or thrown in the making of this video!”😤🤝🏼 #chicken  #problemsolved  ;14900000.0;2800000.0;7912.0;222100.0;https://www.tiktok.com/@elsaucepapii/video/7135682181938171182?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2022-08-25;2023-10-27 10:24:20;0.20335651006711408
elsaucepapii;SaucePapii22;Since everybody wants to see “Big Dirt Dale” catch these hands 🙌🏽 #saucepapii22  #nbayoungboy  #rancho  #viral ;11600000.0;1600000.0;23700.0;80600.0;https://www.tiktok.com/@elsaucepapii/video/6962694884897606918?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2021-05-16;2023-10-27 10:24:24;0.14692241379310345
elsaucepapii;SaucePapii22;What does a Mexican look like?🤔…Cause yo soy that Mexican! 😤😂 #saucepapii22  #mexican ;8600000.0;1500000.0;9587.0;44900.0;https://www.tiktok.com/@elsaucepapii/video/6997924651208936709?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2021-08-19;2023-10-27 10:24:28;0.1807543023255814
elsaucepapii;SaucePapii22;Replying to @A$h Ka$h  I got you! 💪🏼😈😂🤾🏽 #nbayoungboy  #funny  #action  ;17800.0;1530.0;38.0;98.0;https://www.tiktok.com/@elsaucepapii/video/7288855405902515498?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-12;2023-10-27 10:24:32;0.09359550561797753
werenotreallystrangers;We're Not Really Strangers;;73200000.0;4600000.0;33400.0;434200.0;https://www.tiktok.com/@werenotreallystrangers/video/7156781492289408299?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2022-10-21;2023-10-27 10:24:40;0.06922950819672131
werenotreallystrangers;We're Not Really Strangers;show yourself a little kindness today 🌹 ur doing the best with what you know;13400000.0;3600000.0;19000.0;113700.0;https://www.tiktok.com/@werenotreallystrangers/video/6921011265267666181?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2021-01-24;2023-10-27 10:24:43;0.27855970149253734
werenotreallystrangers;We're Not Really Strangers;Warning: Feelings may arise 🥲;9700000.0;833700.0;7200.0;141600.0;https://www.tiktok.com/@werenotreallystrangers/video/6907809880392928518?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2020-12-19;2023-10-27 10:24:46;0.10128865979381443
werenotreallystrangers;We're Not Really Strangers;now available at @target  💖 #fyp  #cardgame  #questions  #latenightvibes  #selflove  ;14200.0;1283.0;2.0;196.0;https://www.tiktok.com/@werenotreallystrangers/video/7294367530418998574?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-27;2023-10-27 10:24:48;0.10429577464788732
marianagrimaldii;La Niña Fresa 🍓;😈😈😈;871000.0;118600.0;831.0;7621.0;https://www.tiktok.com/@marianagrimaldii/video/7293362629664410886?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;;2023-10-27 10:24:56;0.1458691159586682
marianagrimaldii;La Niña Fresa 🍓;@Esai Griego  ;8500000.0;792500.0;2008.0;43800.0;https://www.tiktok.com/@marianagrimaldii/video/7291490833054911749?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-19;2023-10-27 10:24:59;0.0986244705882353
marianagrimaldii;La Niña Fresa 🍓;@Esai Griego  ;4900000.0;643200.0;2126.0;33300.0;https://www.tiktok.com/@marianagrimaldii/video/7290331369354448134?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-16;2023-10-27 10:25:02;0.13849510204081633
marianagrimaldii;La Niña Fresa 🍓;;984200.0;112400.0;1074.0;3630.0;https://www.tiktok.com/@marianagrimaldii/video/7290003090915347717?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-15;2023-10-27 10:25:05;0.1189839463523674
qamar_altaey;𝑄𝐴𝑀𝐴𝑅;انا عراقيـه 🇮🇶❤️👑!. #قمر_الطائي  ;593300.0;77700.0;2352.0;4048.0;https://www.tiktok.com/@qamar_altaey/video/7294246788729457926?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-27;2023-10-27 10:25:13;0.1417495364908141
qamar_altaey;𝑄𝐴𝑀𝐴𝑅;انا عراقيـه 🇮🇶❤️👑!. #قمر_الطائي  ;10100000.0;77700.0;2352.0;4048.0;https://www.tiktok.com/@qamar_altaey/video/7294246788729457926?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-27;2023-10-27 10:25:19;0.008326732673267327
qamar_altaey;𝑄𝐴𝑀𝐴𝑅;شنو رأيكم حبينا💗؟  #sheglam  #sheglamblush  #sheglamliquidfam  #قمر_الطائي  ;1300000.0;105700.0;2788.0;5527.0;https://www.tiktok.com/@qamar_altaey/video/7293153897412054278?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;;2023-10-27 10:25:23;0.08770384615384616
qamar_altaey;𝑄𝐴𝑀𝐴𝑅;❤️❤️❤️ #قمر_الطائي  ;3400000.0;241600.0;9241.0;12800.0;https://www.tiktok.com/@qamar_altaey/video/7283886623710973189?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-09-28;2023-10-27 10:25:28;0.0775414705882353
melmaia;Mel Maia 🍯;"E aí? Descobriu onde é? Encontre os Betas da minha dica entre às 10:30 e 13:30 de amanhã (27/10). Abra a embalagem e procure o QR code!  PS: AÇÃO DURA ATÉ O DIA 29 DE OUTUBRO; por isso não esquece de ir lá no perfil de @betaoficialbr para ver as dicas dos locais dos outros dias.  *publicidade";32600.0;2012.0;32.0;38.0;https://www.tiktok.com/@melmaia/video/7294394672879848709?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-27;2023-10-27 10:25:35;0.06386503067484663
melmaia;Mel Maia 🍯;"Meu Verão #ComMelissa  não poderia ser diferente. Tinha que ser com Melissa Possession Flip Flop e Melissa Possession Bag; que eu sou apaixonada!  Esse novo lançamento de @melissaofficial é inspiração total no ícone Melissa Possession 💖 Não deixe de curtir seu verão #ComMelissa  aproveitando meu cupom MELMAIA10 em todas as lojas oficiais da marca 💕  *publicidade";234200.0;38900.0;61.0;578.0;https://www.tiktok.com/@melmaia/video/7294293052183629062?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-27;2023-10-27 10:25:38;0.16882578992314262
melmaia;Mel Maia 🍯;"Cuidados que vão além: hoje compartilho com vocês a minha rotina de skincare com Cerave ✨  Com apenas 2 passos; minha pele está cada vez mais saudável; gente. O primeiro passo é o Gel de Limpeza Acne Control que reduz 25% dos cravos em apenas 2 semanas e 40% das espinhas em 1 semana - bizarro; tá?  E para manter a pele uniforme e livre de vermelhidão; o Acne Control Cuidado Diário é o cara. Ele deixa a pele 50% mais uniforme e diminui em 59% a vermelhidão do rosto.  Lembre-se; cuidar da pele é um gesto de autocuidado. Então; não deixe de buscar um dermatologista ideal; que entenda a especificidade da sua pele 💙  #CeraVeSkincare   #publicidade ";213800.0;4914.0;58.0;157.0;https://www.tiktok.com/@melmaia/video/7293309314633075973?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;;2023-10-27 10:25:41;0.023989710009354535
melmaia;Mel Maia 🍯;🤍;4000000.0;873500.0;1428.0;40900.0;https://www.tiktok.com/@melmaia/video/7291487158165130501?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-19;2023-10-27 10:25:44;0.228957
outtpig;OuttPig;Bless their hearts #POV  #comedy  #halloween  #relatable  #friends  ;894800.0;183700.0;1046.0;8587.0;https://www.tiktok.com/@outtpig/video/7293649200015985966?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;;2023-10-27 10:25:52;0.21606280733124722
outtpig;OuttPig;It honestly is too much #POV  #comedy  #relatable  #friends  #privilege  ;5500000.0;844800.0;2834.0;30100.0;https://www.tiktok.com/@outtpig/video/7291791765391084846?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-26;2023-10-27 10:25:56;0.159588
outtpig;OuttPig;Ghostface just wanted to play Hay Day 🥺 #HayDay  #HayDayPartner  #Halloween  #POV  #ghostface  #comedy  #relatable  ;206800.0;14000.0;106.0;787.0;https://www.tiktok.com/@outtpig/video/7290295287942221102?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-16;2023-10-27 10:26:00;0.0720164410058027
outtpig;OuttPig;Its so embarrassing #POV  #comedy  #relatable  #friends  #vacation  #movie  ;1800000.0;313400.0;1633.0;22400.0;https://www.tiktok.com/@outtpig/video/7289569364519521582?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-14;2023-10-27 10:26:04;0.18746277777777778
edgar3104;Edgar ramos;Lo que se viene es algo bien 🔥 @Chema  #quebonitavidametoco  #comotoyperro  ;91800.0;4648.0;74.0;97.0;https://www.tiktok.com/@edgar3104/video/7291153224575290655?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-18;2023-10-27 10:26:12;0.05249455337690632
edgar3104;Edgar ramos;Te amo mami te acabas de ir y ya te extrano un chingo 💔 @Brenda Jazmin1625  #comotoyperro  #quebonitavidametoco  ;330500.0;23200.0;568.0;472.0;https://www.tiktok.com/@edgar3104/video/7290977783860170014?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-18;2023-10-27 10:26:15;0.07334341906202724
edgar3104;Edgar ramos;Replying to @Olivia Torres   aqui esta ❤️🤣 #comotoyperro  #quebonitavidametoco  ;549600.0;32400.0;295.0;430.0;https://www.tiktok.com/@edgar3104/video/7288195511763455263?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-10;2023-10-27 10:26:18;0.060271106259097526
edgar3104;Edgar ramos;2 meses y los que faltan amor ❤️ @Brenda Jazmin1625  @MY Garage Kitchen  #comotoyperro  #quebonitavidametoco  ;31100.0;1873.0;30.0;16.0;https://www.tiktok.com/@edgar3104/video/7294414620561788190?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-27;2023-10-27 10:26:21;0.06170418006430868
christianchavezreal;Christian Chávez;"¡Atención Guadalajara! Vamos a bailar y manifiesta tu rebeldía; prepará tus mejores pasos de baile para asistir al Soy Rebelde Tour. ¡Espéralo muy pronto!#sedalxRBD  #publicidadpagada ";69000.0;4613.0;98.0;149.0;https://www.tiktok.com/@christianchavezreal/video/7288873761179192582?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-12;2023-10-27 10:26:29;0.07043478260869565
christianchavezreal;Christian Chávez;Rbd night 🤩#rbd  #rbdisback  #rbdmusica  ;275900.0;36700.0;325.0;868.0;https://www.tiktok.com/@christianchavezreal/video/7287114780601552133?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-10-07;2023-10-27 10:26:32;0.13734324030445813
christianchavezreal;Christian Chávez;Love u Britney 🖤 Ready for denver !!!  #rbd  #rbdisback  ;406000.0;36900.0;515.0;998.0;https://www.tiktok.com/@christianchavezreal/video/7277366224902802693?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-09-11;2023-10-27 10:26:35;0.09461330049261084
christianchavezreal;Christian Chávez;Listo para otro concierto ⚡️🖤;1100000.0;98100.0;956.0;1536.0;https://www.tiktok.com/@christianchavezreal/video/7276247283484642566?is_from_webapp=1&sender_device=pc&web_id=7294473792460768769;2023-09-08;2023-10-27 10:26:38;0.09144727272727272
chanderland;Chana;Happy birthday to me 🫶🏻  ❗️FAKE SITUATION ❗️;2700000.0;320300.0;714.0;9630.0;https://www.tiktok.com/@chanderland/video/7273497468791262466?is_from_webapp=1&sender_device=pc&web_id=7294475163289437697;2023-08-31;2023-10-27 10:29:40;0.12246074074074075
chanderland;Chana;Mood:;43400000.0;6100000.0;25400.0;457800.0;https://www.tiktok.com/@chanderland/video/7135395800762305793?is_from_webapp=1&sender_device=pc&web_id=7294475163289437697;2022-08-24;2023-10-27 10:29:43;0.15168663594470047
